timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782664836924,99,Products Request,200,OK,Shopping 4-13,text,true,,45106,565,3,7,https://dummyjson.com/products,84,0,0
1782664836737,318,Cart Request,201,Created,Shopping 4-11,text,true,,1305,310,3,7,https://dummyjson.com/carts/add,318,0,0
1782664836974,94,Products Request,200,OK,Products 2-17,text,true,,45096,181,2,7,https://dummyjson.com/products,79,0,0
1782664836960,135,Login Request,200,OK,Login Users 1-17,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,135,0,0
1782664836934,252,Products Request,200,OK,Products 2-18,text,true,,45100,181,1,7,https://dummyjson.com/products,239,0,157
1782664837095,135,Login Request,200,OK,Login Users 1-17,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,135,0,0
1782664837186,94,Products Request,200,OK,Products 2-18,text,true,,45102,181,1,7,https://dummyjson.com/products,79,0,0
1782664836994,311,Login Request,200,OK,Shopping 4-12,text,true,,2816,292,4,7,https://dummyjson.com/auth/login,311,0,0
1782664836921,402,Login Request,200,OK,Login Users 1-18,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,402,0,267
1782664837023,314,Cart Request,201,Created,Shopping 4-13,text,true,,1309,310,4,7,https://dummyjson.com/carts/add,314,0,0
1782664837230,132,Login Request,200,OK,Login Users 1-17,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,132,0,0
1782664837055,316,Checkout Request,200,OK,Shopping 4-11,text,true,,2020,218,4,6,https://dummyjson.com/carts/user/1,316,0,0
1782664837281,99,Products Request,200,OK,Products 2-18,text,true,,45098,181,1,5,https://dummyjson.com/products,83,0,0
1782664837305,94,Products Request,200,OK,Shopping 4-12,text,true,,45100,565,3,5,https://dummyjson.com/products,79,0,0
1782664837323,133,Login Request,200,OK,Login Users 1-18,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,133,0,0
1782664837380,97,Products Request,200,OK,Products 2-18,text,true,,45102,181,2,7,https://dummyjson.com/products,82,0,0
1782664837477,95,Products Request,200,OK,Products 2-18,text,true,,45094,181,2,7,https://dummyjson.com/products,81,0,0
1782664837456,138,Login Request,200,OK,Login Users 1-18,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,138,0,0
1782664837111,486,Login Request,200,OK,Shopping 4-14,text,true,,2816,290,3,6,https://dummyjson.com/auth/login,486,0,169
1782664837337,314,Checkout Request,200,OK,Shopping 4-13,text,true,,2020,218,3,6,https://dummyjson.com/carts/user/1,313,0,0
1782664837598,103,Products Request,200,OK,Shopping 4-14,text,true,,45098,565,3,6,https://dummyjson.com/products,87,0,0
1782664837434,268,Products Request,200,OK,Products 2-19,text,true,,45102,181,1,6,https://dummyjson.com/products,256,0,164
1782664837399,315,Cart Request,201,Created,Shopping 4-12,text,true,,1315,310,3,6,https://dummyjson.com/carts/add,315,0,0
1782664837594,132,Login Request,200,OK,Login Users 1-18,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,132,0,0
1782664837702,98,Products Request,200,OK,Products 2-19,text,true,,45100,181,1,7,https://dummyjson.com/products,83,0,0
1782664837420,406,Login Request,200,OK,Login Users 1-19,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,406,0,272
1782664837726,128,Login Request,200,OK,Login Users 1-18,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,128,0,0
1782664837800,100,Products Request,200,OK,Products 2-19,text,true,,45098,181,1,6,https://dummyjson.com/products,85,0,0
1782664837826,135,Login Request,200,OK,Login Users 1-19,text,true,,5249,259,2,8,https://quickpizza.grafana.com/login,135,0,0
